['109', '309', '457', '144', '951', '643', '736', '582', '216', '360', '56', '573', '473', '490', '817', '73', '174', '224', '110', '931', '772', '388', '871', '747', '959', '196', '928', '112', '563', '637', '433', '62']
['169', '449', '806', '614', '719', '676', '306', '285', '939', '878', '262', '823', '162', '308', '509', '477', '334', '63', '45', '299', '831', '754', '401', '533', '591', '755', '304', '762', '75', '726', '500', '574']
['245', '568', '494', '709', '406', '842', '85', '291', '239', '866', '688', '611', '958', '980', '507', '458', '985', '268', '489', '3', '752', '417', '756', '815', '327', '195', '628', '362', '816', '135', '105', '88']
['266', '180', '681', '131', '837', '852', '363', '127', '555', '935', '11', '302', '720', '347', '559', '167', '115', '28', '922', '190', '506', '275', '748', '340', '584', '165', '476', '450', '635', '809', '804', '824']
['317', '550', '987', '897', '601', '171', '250', '670', '176', '208', '943', '84', '441', '19', '656', '612', '780', '788', '671', '874', '249', '374', '508', '235', '69', '48', '976', '861', '402', '962', '830', '172']
['335', '511', '753', '23', '812', '132', '776', '377', '629', '13', '186', '501', '993', '260', '545', '118', '496', '24', '995', '847', '145', '134', '904', '106', '512', '894', '83', '92', '586', '630', '708', '779']
['38', '790', '442', '292', '741', '421', '166', '296', '281', '52', '161', '50', '263', '649', '72', '609', '111', '639', '405', '96', '892', '503', '37', '745', '418', '672', '53', '597', '22', '200', '95', '444']
['39', '136', '311', '807', '407', '141', '947', '849', '608', '594', '750', '884', '177', '453', '288', '267', '554', '798', '220', '633', '47', '827', '700', '339', '445', '685', '585', '353', '207', '707', '683', '185']
['467', '808', '763', '358', '294', '950', '733', '654', '58', '735', '345', '326', '911', '77', '454', '855', '416', '155', '101', '781', '576', '710', '439', '714', '479', '430', '522', '320', '697', '236', '80', '211']
['487', '411', '498', '81', '619', '322', '462', '257', '653', '328', '665', '513', '313', '888', '15', '856', '434', '384', '446', '869', '954', '481', '116', '463', '651', '350', '967', '659', '223', '269', '61', '626']
['49', '310', '969', '984', '979', '593', '977', '486', '908', '219', '181', '67', '848', '706', '730', '923', '577', '996', '638', '400', '737', '99', '941', '912', '297', '10', '18', '381', '516', '156', '5', '949']
['552', '590', '424', '33', '276', '757', '485', '990', '963', '179', '154', '198', '945', '711', '636', '882', '642', '544', '906', '152', '778', '499', '784', '397', '647', '16', '819', '600', '139', '764', '761', '728']
['587', '375', '956', '102', '40', '480', '791', '909', '678', '20', '491', '864', '786', '301', '452', '838', '218', '540', '983', '657', '256', '460', '961', '974', '305', '122', '238', '429', '520', '946', '147', '975']
['588', '766', '364', '264', '329', '669', '896', '606', '889', '387', '627', '787', '887', '170', '471', '465', '370', '774', '4', '26', '782', '129', '380', '580', '318', '386', '607', '128', '800', '140', '725', '233']
['592', '371', '41', '57', '860', '934', '343', '282', '30', '493', '228', '865', '273', '964', '346', '534', '435', '799', '898', '298', '702', '879', '505', '12', '610', '230', '527', '410', '451', '113', '575', '930']
['655', '723', '325', '560', '914', '413', '372', '567', '35', '79', '271', '475', '280', '801', '254', '862', '758', '6', '278', '960', '822', '797', '82', '535', '251', '191', '201', '392', '875', '825', '1', '777']
['660', '399', '826', '713', '746', '492', '390', '693', '846', '915', '123', '873', '93', '31', '150', '383', '420', '926', '153', '581', '151', '620', '126', '210', '548', '644', '182', '213', '521', '556', '149', '913']
['661', '44', '765', '221', '303', '722', '205', '258', '9', '903', '936', '51', '148', '427', '368', '431', '437', '367', '729', '199', '43', '461', '229', '634', '293', '749', '718', '595', '474', '42', '839', '344']
['682', '885', '952', '835', '252', '921', '684', '497', '530', '857', '893', '97', '46', '466', '701', '570', '25', '579', '986', '336', '203', '686', '689', '679', '938', '738', '536', '991', '244', '715', '225', '978']
['692', '517', '74', '98', '623', '677', '354', '841', '376', '640', '495', '178', '965', '270', '982', '558', '624', '231', '564', '415', '70', '717', '382', '253', '664', '361', '272', '352', '342', '65', '658', '813']
['716', '845', '972', '337', '312', '315', '876', '616', '194', '502', '704', '818', '929', '760', '872', '944', '937', '192', '541', '811', '515', '425', '158', '767', '942', '163', '369', '246', '902', '901', '389', '572']
['732', '428', '650', '412', '240', '615', '510', '212', '87', '589', '834', '261', '234', '91', '698', '209', '641', '395', '133', '423', '117', '891', '385', '519', '905', '743', '662', '396', '206', '217', '997', '973']
['734', '100', '598', '547', '125', '414', '333', '895', '673', '794', '920', '470', '142', '810', '970', '391', '483', '436', '349', '29', '8', '666', '183', '553', '596', '90', '562', '193', '484', '0', '668', '160']
['836', '408', '691', '89', '232', '394', '645', '215', '648', '603', '189', '532', '953', '992', '802', '60', '355', '379', '259', '378', '119', '341', '356', '840', '204', '880', '900', '602', '998', '284', '744', '853']
['843', '932', '290', '286', '854', '300', '948', '526', '523', '524', '694', '422', '557', '175', '295', '868', '393', '867', '447', '687', '832', '529', '103', '927', '214', '881', '721', '366', '130', '542', '197', '36']
['844', '27', '321', '525', '146', '440', '695', '359', '66', '605', '769', '727', '565', '404', '332', '703', '829', '338', '222', '157', '759', '164', '538', '419', '907', '64', '283', '373', '566', '994', '226', '464']
['858', '168', '785', '2', '448', '957', '173', '899', '54', '971', '55', '472', '227', '482', '820', '652', '699', '793', '426', '78', '770', '632', '622', '617', '443', '675', '742', '518', '287', '775', '403', '432']
['890', '667', '17', '599', '108', '783', '883', '925', '188', '859', '438', '569', '323', '488', '330', '828', '571', '468', '398', '143', '138', '316', '34', '124', '803', '121', '578', '357', '674', '924', '625', '696']
['933', '184', '324', '504', '247', '307', '187', '241', '478', '919', '805', '850', '916', '514', '870', '59', '331', '663', '531', '918', '243', '120', '795', '792', '833', '274', '546', '289', '551', '771', '731', '631']
['94', '724', '469', '751', '851', '877', '114', '255', '613', '237', '618', '351', '202', '455', '137', '68', '968', '537', '159', '543', '71', '277', '314', '768', '21', '917', '365', '32', '690', '955', '456', '104']
['940', '549', '76', '740', '646', '680', '705', '981', '821', '789', '248', '796', '886', '14', '348', '459', '966', '539', '319', '583', '739', '279', '86', '814', '242', '773', '988', '863', '989', '7', '107', '621']
['999', '910', '604', '528', '265', '712', '561', '409']
