['100', '586', '427', '152', '539', '677', '584', '172', '656', '728']
['103', '779', '407', '739', '552', '457', '527', '447', '49', '213']
['11', '790', '689', '414', '157', '384', '698', '82', '228', '727']
['128', '205', '406', '373', '211', '185', '252', '73', '765', '353']
['132', '336', '791', '346', '789', '319', '520', '22', '503', '50']
['145', '550', '657', '749', '674', '70', '390', '702', '410', '685']
['15', '454', '130', '617', '83', '668', '746', '534', '234', '623']
['164', '594', '600', '178', '636', '431', '99', '216', '349', '602']
['17', '104', '233', '301', '511', '116', '540', '363', '105', '543']
['173', '676', '110', '609', '730', '332', '451', '324', '312', '467']
['176', '232', '483', '183', '714', '56', '181', '29', '760', '686']
['179', '624', '634', '237', '411', '44', '564', '399', '793', '46']
['180', '553', '428', '254', '396', '673', '129', '5', '39', '607']
['193', '588', '741', '569', '168', '385', '625', '182', '697', '85']
['202', '0', '279', '549', '137', '705', '770', '622', '45', '443']
['224', '239', '650', '59', '496', '587', '358', '268', '284', '778']
['227', '192', '207', '4', '726', '699', '535', '149', '321', '504']
['256', '659', '206', '510', '133', '375', '323', '153', '141', '300']
['262', '260', '642', '671', '113', '710', '419', '417', '322', '281']
['266', '423', '190', '54', '568', '704', '612', '245', '23', '341']
['270', '329', '78', '716', '121', '722', '93', '787', '160', '199']
['280', '561', '717', '394', '597', '337', '60', '381', '200', '639']
['285', '567', '170', '57', '235', '327', '762', '429', '475', '292']
['293', '95', '630', '35', '555', '580', '786', '437', '693', '14']
['295', '303', '236', '286', '495', '490', '521', '766', '459', '257']
['304', '604', '265', '629', '598', '616', '500', '271', '665', '405']
['305', '48', '661', '250', '593', '557', '380', '509', '755', '282']
['308', '734', '713', '311', '740', '652', '219', '436', '155', '494']
['313', '51', '340', '184', '351', '651', '369', '316', '246', '370']
['314', '30', '529', '628', '306', '167', '442', '330', '9', '350']
['32', '753', '754', '240', '148', '365', '648', '241', '458', '432']
['326', '223', '333', '775', '464', '247', '25', '127', '238', '263']
['352', '585', '608', '434', '94', '115', '328', '664', '531', '251']
['367', '150', '62', '299', '221', '177', '134', '19', '188', '675']
['368', '470', '682', '126', '744', '515', '33', '222', '719', '573']
['377', '544', '267', '599', '360', '393', '347', '71', '3', '446']
['378', '244', '633', '513', '729', '570', '780', '736', '138', '563']
['382', '688', '122', '526', '275', '662', '660', '794', '400', '542']
['383', '97', '647', '646', '338', '175', '156', '61', '27', '2']
['392', '485', '761', '131', '302', '403', '463', '541', '595', '481']
['395', '758', '769', '342', '208', '218', '654', '684', '28', '16']
['40', '226', '695', '505', '731', '462', '76', '402', '776', '249']
['413', '345', '258', '107', '214', '26', '136', '488', '752', '154']
['416', '653', '404', '514', '493', '408', '84', '751', '195', '430']
['418', '635', '798', '142', '678', '643', '499', '768', '461', '98']
['43', '42', '750', '619', '64', '525', '12', '797', '591', '230']
['438', '523', '422', '466', '139', '476', '283', '615', '366', '114']
['480', '506', '220', '101', '453', '34', '194', '548', '169', '614']
['516', '783', '452', '450', '398', '474', '309', '627', '565', '63']
['524', '112', '317', '397', '649', '448', '388', '344', '792', '621']
['533', '7', '460', '465', '641', '435', '579', '425', '603', '484']
['546', '8', '372', '742', '125', '204', '556', '331', '88', '663']
['55', '782', '777', '444', '66', '795', '277', '41', '151', '518']
['551', '81', '269', '196', '231', '52', '743', '189', '517', '36']
['560', '174', '799', '371', '732', '111', '106', '31', '24', '343']
['575', '356', '387', '401', '679', '259', '558', '683', '289', '767']
['576', '229', '738', '455', '610', '721', '644', '212', '290', '415']
['6', '91', '203', '528', '577', '261', '123', '469', '477', '255']
['626', '288', '449', '297', '47', '537', '538', '583', '37', '501']
['632', '391', '124', '440', '631', '472', '715', '508', '264', '335']
['637', '209', '65', '109', '745', '445', '187', '171', '278', '86']
['640', '687', '75', '578', '108', '530', '701', '294', '357', '784']
['669', '658', '276', '307', '725', '386', '491', '581', '72', '512']
['67', '80', '426', '272', '781', '74', '680', '605', '519', '796']
['670', '118', '147', '69', '733', '58', '532', '77', '703', '1']
['672', '217', '773', '692', '364', '706', '355', '362', '248', '291']
['681', '215', '489', '374', '315', '572', '92', '571', '10', '720']
['690', '162', '90', '596', '21', '554', '159', '163', '273', '606']
['691', '547', '645', '13', '433', '482', '618', '242', '492', '764']
['707', '590', '320', '296', '486', '655', '161', '613', '379', '562']
['708', '487', '522', '566', '298', '638', '536', '191', '666', '785']
['718', '287', '620', '409', '310', '473', '158', '478', '68', '700']
['737', '412', '471', '38', '18', '135', '724', '389', '20', '243']
['748', '186', '53', '479', '274', '143', '146', '87', '694', '376']
['757', '611', '348', '197', '559', '253', '420', '361', '424', '140']
['759', '318', '747', '696', '582', '325', '497', '210', '441', '354']
['763', '117', '774', '756', '498', '359', '592', '165', '667', '119']
['771', '502', '712', '574', '144', '788', '711', '709', '201', '166']
['772', '507', '198', '89', '468', '96', '102', '589', '120', '225']
['79', '723', '456', '601', '421', '735', '334', '339', '545', '439']
