['100', '628', '315', '5', '306', '341', '949', '43', '31', '596']
['110', '145', '458', '199', '962', '135', '510', '989', '377', '455']
['116', '983', '242', '979', '328', '293', '185', '534', '381', '668']
['119', '283', '385', '446', '817', '460', '502', '532', '955', '422']
['120', '827', '388', '607', '593', '24', '818', '305', '487', '745']
['140', '540', '665', '224', '699', '862', '39', '987', '496', '83']
['148', '906', '701', '173', '971', '787', '254', '507', '138', '874']
['149', '571', '564', '81', '898', '171', '228', '65', '147', '412']
['150', '783', '143', '121', '33', '638', '685', '241', '429', '531']
['156', '178', '3', '495', '585', '214', '202', '546', '905', '423']
['164', '467', '858', '204', '793', '765', '192', '654', '903', '461']
['180', '205', '525', '441', '567', '719', '387', '700', '46', '396']
['181', '872', '740', '288', '157', '738', '182', '499', '761', '998']
['195', '839', '373', '734', '543', '928', '367', '991', '410', '945']
['197', '751', '438', '646', '237', '304', '472', '696', '30', '917']
['201', '10', '885', '16', '57', '533', '208', '155', '576', '112']
['209', '801', '271', '953', '278', '448', '77', '821', '582', '575']
['21', '213', '350', '689', '264', '889', '505', '982', '521', '142']
['212', '302', '779', '563', '338', '258', '867', '159', '883', '146']
['222', '153', '165', '250', '436', '114', '62', '473', '370', '196']
['226', '169', '640', '134', '636', '614', '308', '620', '606', '49']
['23', '320', '825', '833', '413', '15', '103', '951', '433', '775']
['231', '90', '796', '468', '623', '717', '386', '977', '527', '569']
['249', '849', '379', '913', '95', '758', '45', '656', '873', '961']
['251', '887', '822', '508', '13', '285', '927', '407', '398', '948']
['274', '602', '337', '941', '7', '687', '990', '334', '932', '51']
['28', '750', '851', '946', '843', '894', '930', '960', '187', '66']
['284', '712', '770', '842', '498', '782', '599', '346', '444', '330']
['291', '916', '474', '269', '427', '158', '811', '800', '776', '591']
['296', '878', '925', '588', '560', '622', '44', '935', '764', '53']
['311', '503', '755', '650', '723', '58', '970', '524', '14', '968']
['325', '106', '666', '504', '727', '993', '523', '744', '252', '294']
['332', '573', '188', '892', '378', '162', '443', '753', '445', '18']
['333', '866', '592', '352', '227', '493', '469', '547', '509', '261']
['336', '557', '936', '248', '548', '847', '253', '760', '372', '35']
['34', '813', '554', '300', '856', '986', '301', '88', '954', '263']
['348', '220', '733', '428', '669', '559', '316', '454', '246', '706']
['349', '637', '748', '514', '104', '670', '703', '91', '826', '466']
['37', '667', '437', '183', '824', '430', '549', '471', '431', '17']
['371', '694', '577', '806', '486', '673', '612', '877', '808', '8']
['415', '42', '477', '845', '225', '449', '959', '731', '648', '360']
['418', '784', '339', '191', '262', '550', '193', '676', '679', '168']
['432', '912', '797', '459', '416', '705', '795', '660', '868', '598']
['434', '686', '369', '67', '976', '309', '967', '584', '389', '552']
['435', '840', '282', '537', '132', '358', '852', '754', '340', '123']
['456', '522', '566', '447', '478', '605', '0', '374', '207', '618']
['480', '189', '964', '327', '351', '375', '240', '691', '610', '266']
['494', '974', '617', '506', '803', '634', '411', '82', '440', '56']
['501', '355', '307', '604', '344', '281', '828', '69', '865', '853']
['520', '804', '362', '125', '255', '108', '572', '902', '55', '324']
['551', '798', '84', '773', '234', '322', '586', '451', '87', '762']
['555', '678', '933', '347', '391', '275', '482', '384', '870', '206']
['556', '297', '365', '511', '956', '630', '545', '102', '238', '643']
['562', '179', '245', '641', '89', '219', '674', '287', '424', '786']
['578', '210', '790', '223', '871', '310', '376', '54', '317', '984']
['59', '216', '230', '479', '957', '163', '538', '714', '615', '98']
['595', '403', '832', '999', '221', '75', '707', '364', '633', '513']
['625', '400', '11', '63', '844', '128', '277', '937', '383', '2']
['629', '664', '68', '814', '807', '823', '409', '890', '950', '675']
['631', '232', '544', '756', '457', '580', '73', '836', '48', '419']
['64', '739', '239', '587', '273', '799', '698', '757', '127', '198']
['653', '319', '280', '778', '709', '40', '50', '233', '160', '331']
['658', '353', '947', '908', '470', '529', '542', '735', '860', '929']
['684', '515', '519', '151', '981', '512', '136', '854', '910', '408']
['690', '815', '414', '366', '176', '649', '802', '749', '726', '841']
['692', '265', '174', '603', '109', '229', '697', '891', '978', '475']
['702', '395', '766', '101', '343', '915', '995', '980', '972', '490']
['704', '594', '919', '292', '399', '907', '565', '218', '716', '881']
['72', '639', '12', '632', '713', '118', '450', '93', '61', '4']
['722', '781', '763', '759', '1', '85', '721', '483', '194', '139']
['725', '295', '113', '111', '497', '421', '345', '463', '934', '581']
['728', '792', '710', '535', '401', '500', '875', '298', '897', '425']
['743', '335', '78', '290', '236', '368', '380', '850', '404', '257']
['747', '857', '361', '363', '810', '203', '402', '752', '848', '321']
['76', '130', '215', '25', '86', '589', '244', '426', '695', '517']
['768', '359', '924', '70', '186', '647', '484', '651', '943', '682']
['771', '129', '837', '122', '911', '609', '541', '390', '794', '272']
['809', '133', '323', '405', '530', '318', '568', '724', '71', '855']
['838', '561', '462', '570', '880', '834', '382', '780', '9', '19']
['846', '963', '861', '944', '661', '732', '80', '394', '884', '626']
['859', '621', '289', '392', '313', '553', '835', '137', '992', '175']
['886', '926', '52', '616', '235', '830', '681', '899', '79', '663']
['893', '442', '465', '184', '211', '299', '167', '938', '41', '481']
['895', '115', '476', '777', '819', '177', '805', '642', '785', '923']
['901', '528', '144', '491', '217', '32', '730', '812', '969', '154']
['904', '27', '597', '688', '816', '619', '613', '583', '36', '774']
['909', '600', '303', '590', '124', '464', '329', '259', '869', '172']
['914', '635', '60', '940', '876', '624', '645', '393', '939', '789']
['918', '243', '170', '267', '452', '772', '161', '276', '988', '882']
['920', '26', '356', '107', '652', '896', '539', '268', '708', '644']
['921', '518', '864', '536', '900', '683', '996', '662', '672', '94']
['931', '417', '406', '6', '677', '526', '516', '485', '190', '354']
['942', '342', '879', '131', '20', '326', '737', '655', '126', '888']
['96', '488', '574', '720', '47', '711', '718', '788', '659', '767']
['965', '22', '922', '312', '741', '952', '279', '997', '627', '729']
['966', '680', '820', '105', '736', '97', '270', '453', '256', '166']
['973', '92', '671', '611', '791', '489', '200', '117', '601', '958']
['975', '657', '742', '994', '74', '746', '829', '439', '29', '152']
['985', '314', '397', '608', '247', '141', '693', '492', '558', '831']
['99', '420', '357', '38', '715', '286', '863', '769', '260', '579']
