['0', '1', '7', '8', '14', '15', '21', '22', '28', '29']
['101', '115', '122', '129', '136', '157', '164', '171', '178', '192']
['106', '112', '113', '119', '120', '126', '127', '133', '134', '140']
['114', '121', '128', '135', '142', '149', '170', '177', '184', '198']
['130', '144', '165', '179', '193', '200', '221', '235', '242', '249']
['141', '147', '148', '154', '155', '161', '162', '168', '169', '175']
['176', '182', '183', '189', '190', '196', '197', '204', '210', '211']
['199', '213', '241', '248', '262', '269', '276', '283', '297', '304']
['205', '212', '219', '226', '240', '247', '254', '261', '275', '296']
['217', '218', '224', '225', '231', '232', '238', '245', '246', '252']
['244', '265', '271', '56', '203', '239', '253', '294', '322', '365']
['256', '263', '270', '312', '326', '333', '347', '361', '375', '396']
['259', '260', '266', '267', '273', '274', '280', '281', '287', '288']
['295', '301', '302', '308', '309', '315', '316', '323', '329', '330']
['3', '17', '24', '38', '45', '52', '59', '80', '87', '94']
['303', '310', '317', '324', '331', '345', '352', '366', '373', '401']
['318', '332', '339', '346', '360', '374', '381', '388', '395', '416']
['336', '337', '343', '344', '350', '351', '357', '358', '364', '371']
['35', '36', '42', '43', '49', '50', '57', '63', '64', '70']
['372', '378', '379', '385', '386', '392', '393', '399', '400', '407']
['403', '410', '424', '431', '438', '6', '48', '62', '69', '75']
['408', '415', '422', '436', '443', '450', '457', '464', '478', '485']
['413', '420', '421', '427', '428', '434', '435', '441', '442', '448']
['418', '406', '414', '456', '2', '44', '58', '65', '93', '107']
['419', '156', '163', '191', '233', '268', '282', '289', '338', '359']
['423', '430', '472', '479', '4', '25', '67', '81', '88', '95']
['425', '380', '387', '394', '429', '471', '10', '31', '66', '73']
['426', '108', '143', '150', '185', '206', '220', '227', '234', '255']
['432', '290', '311', '325', '353', '367', '402', '409', '437', '444']
['433', '451', '458', '465', '486', '11', '18', '32', '39', '46']
['439', '53', '60', '74', '102', '109', '116', '123', '137', '151']
['440', '158', '172', '186', '207', '214', '228', '277', '284', '291']
['446', '298', '305', '319', '340', '354', '368', '382', '389', '417']
['447', '445', '452', '459', '466', '473', '480', '487', '5', '12']
['449', '455', '462', '463', '469', '470', '476', '477', '483', '484']
['453', '13', '19', '20', '26', '27', '33', '34', '40', '41']
['454', '47', '54', '55', '61', '68', '76', '82', '89', '96']
['460', '97', '103', '110', '111', '118', '124', '125', '132', '138']
['461', '139', '145', '146', '152', '153', '159', '166', '173', '174']
['467', '180', '187', '188', '194', '195', '202', '209', '215', '216']
['468', '222', '223', '229', '230', '236', '237', '243', '250', '251']
['474', '257', '258', '264', '272', '278', '279', '285', '286', '292']
['475', '293', '299', '300', '306', '307', '313', '314', '320', '321']
['481', '327', '328', '334', '335', '341', '342', '348', '349', '355']
['482', '356', '362', '363', '369', '370', '376', '377', '383', '384']
['488', '390', '391', '397', '398', '404', '405', '411', '412']
['489']
['71', '77', '78', '84', '85', '91', '92', '98', '99', '105']
['83', '90', '104', '117', '131', '160', '167', '181', '201', '208']
['9', '16', '23', '30', '37', '51', '72', '79', '86', '100']
