['112', '289', '467', '460', '470', '423', '210', '376', '429', '420']
['117', '198', '56', '397', '484', '107', '62', '294', '243', '131']
['118', '120', '408', '88', '209', '171', '454', '412', '227', '296']
['12', '215', '320', '270', '476', '292', '319', '329', '13', '216']
['135', '46', '233', '472', '272', '111', '257', '374', '40', '317']
['139', '242', '313', '291', '469', '486', '213', '109', '29', '312']
['145', '448', '466', '127', '474', '153', '68', '130', '67', '364']
['172', '17', '268', '492', '328', '283', '380', '36', '306', '263']
['173', '136', '310', '256', '396', '187', '271', '443', '361', '253']
['175', '229', '5', '27', '342', '441', '146', '266', '400', '10']
['178', '144', '324', '389', '197', '32', '325', '417', '239', '43']
['179', '453', '458', '192', '305', '405', '388', '373', '245', '399']
['182', '428', '110', '234', '365', '176', '183', '73', '248', '74']
['188', '150', '387', '240', '261', '489', '64', '19', '495', '237']
['189', '18', '101', '318', '166', '134', '1', '411', '311', '494']
['190', '184', '371', '436', '346', '496', '11', '308', '384', '71']
['193', '100', '281', '164', '170', '50', '450', '353', '480', '123']
['211', '359', '165', '228', '440', '103', '85', '143', '355', '338']
['230', '121', '262', '414', '478', '31', '199', '482', '221', '464']
['24', '362', '354', '22', '158', '148', '42', '84', '331', '335']
['249', '15', '141', '72', '126', '58', '456', '432', '402', '39']
['250', '54', '385', '406', '167', '128', '252', '161', '138', '483']
['258', '404', '196', '26', '33', '60', '477', '89', '140', '91']
['264', '343', '186', '369', '147', '459', '87', '465', '14', '83']
['269', '259', '300', '439', '116', '363', '25', '284', '488', '288']
['282', '226', '446', '337', '255', '463', '333', '370', '416', '200']
['285', '377', '79', '309', '63', '102', '278', '473', '28', '372']
['290', '160', '277', '159', '438', '137', '23', '379', '304', '238']
['293', '336', '393', '169', '485', '295', '235', '246', '499', '323']
['298', '330', '168', '208', '86', '96', '95', '59', '461', '80']
['302', '451', '48', '244', '55', '260', '316', '398', '51', '207']
['315', '181', '194', '219', '2', '52', '152', '445', '232', '76']
['327', '217', '457', '47', '345', '394', '276', '205', '431', '430']
['340', '339', '114', '180', '267', '275', '421', '434', '16', '274']
['356', '447', '347', '154', '225', '224', '481', '35', '415', '214']
['357', '452', '422', '8', '358', '49', '174', '0', '424', '203']
['360', '479', '191', '321', '149', '471', '348', '366', '177', '475']
['37', '66', '383', '65', '61', '449', '69', '303', '6', '334']
['38', '286', '185', '125', '82', '104', '115', '206', '155', '455']
['381', '382', '201', '407', '106', '30', '195', '119', '97', '142']
['409', '156', '236', '322', '163', '151', '162', '21', '247', '344']
['418', '202', '122', '20', '401', '367', '251', '280', '41', '444']
['419', '497', '314', '395', '375', '433', '498', '462', '133', '427']
['487', '425', '468', '392', '378', '273', '493', '222', '403', '57']
['53', '78', '410', '254', '124', '442', '223', '386', '90', '241']
['7', '45', '426', '437', '301', '413', '435', '129', '93', '77']
['70', '265', '297', '108', '490', '299', '92', '218', '326', '279']
['81', '352', '231', '113', '350', '204', '368', '220', '34', '132']
['9', '491', '94', '3', '391', '349', '99', '105', '287', '307']
['98', '75', '212', '390', '341', '351', '44', '4', '157', '332']
