['139', '154', '160', '190', '191', '1', '3', '4', '5', '11', '20', '22', '29', '33', '34', '37', '40', '54', '58', '59']
['144', '146', '148', '152', '159', '161', '163', '164', '168', '169', '173', '174', '176', '179', '180', '183', '188', '192', '196', '198']
['151', '167', '170', '172', '181', '187', '189', '197', '199', '210', '218', '225', '231', '232', '234', '244', '245', '255', '264', '270']
['162', '171', '253', '10', '12', '17', '24', '25', '31', '36', '47', '53', '68', '69', '80', '98', '106', '119', '128', '138']
['200', '211', '213', '214', '215', '217', '227', '229', '233', '238', '240', '246', '249', '251', '265', '266', '272', '291', '294', '295']
['221', '223', '224', '230', '235', '237', '239', '241', '252', '254', '261', '279', '282', '283', '284', '288', '296', '298', '321', '334']
['262', '276', '280', '285', '286', '292', '299', '301', '302', '303', '306', '315', '316', '319', '328', '341', '353', '357', '360', '372']
['271', '275', '281', '293', '304', '317', '320', '326', '329', '338', '346', '349', '354', '366', '384', '388', '394', '405', '406', '416']
['307', '308', '343', '344', '404', '0', '8', '14', '39', '41', '46', '50', '56', '57', '61', '75', '78', '81', '90', '92']
['318', '355', '361', '364', '365', '367', '391', '400', '407', '413', '414', '426', '427', '444', '474', '482', '491', '43', '83', '157']
['335', '337', '358', '363', '375', '378', '382', '2', '35', '62', '63', '66', '97', '115', '120', '127', '130', '134', '142', '145']
['376', '385', '387', '398', '415', '421', '423', '424', '425', '439', '472', '483', '48', '177', '195', '216', '243', '256', '263', '314']
['419', '433', '445', '488', '67', '89', '99', '125', '175', '178', '182', '186', '194', '203', '236', '242', '250', '257', '258', '260']
['492', '310', '74', '126', '248', '274', '289', '402', '13', '28', '32', '42', '76', '109', '123', '129', '184', '193', '269', '277']
['493', '278', '313', '327', '331', '332', '339', '356', '359', '369', '370', '377', '379', '386', '392', '395', '430', '16', '73', '79']
['494', '122', '132', '133', '185', '208', '228', '268', '290', '311', '323', '324', '325', '333', '336', '342', '345', '350', '351', '368']
['495', '371', '380', '381', '383', '393', '397', '408', '412', '420', '431', '438', '441', '448', '449', '451', '455', '456', '457', '458']
['496', '460', '461', '479', '481', '112', '147', '202', '220', '222', '226', '273', '287', '297', '305', '309', '312', '322', '330', '340']
['497', '347', '348', '352', '362', '373', '374', '389', '390', '396', '399', '401', '403', '409', '410', '411', '417', '418', '422', '428']
['498', '429', '432', '434', '435', '436', '437', '440', '442', '443', '446', '447', '450', '452', '453', '454', '459', '462', '463', '464']
['499', '465', '466', '467', '468', '469', '470', '471', '473', '475', '476', '477', '478', '480', '484', '485', '486', '487', '489', '490']
['7', '9', '15', '23', '26', '30', '44', '45', '49', '52', '55', '60', '64', '84', '85', '88', '110', '113', '121', '141']
['72', '77', '86', '94', '103', '107', '124', '135', '136', '137', '143', '153', '156', '201', '204', '247', '259', '267', '300', '6']
['95', '21', '70', '155', '19', '51', '65', '131', '219', '18', '27', '38', '71', '82', '87', '91', '93', '100', '140', '149']
['96', '101', '102', '104', '105', '108', '111', '114', '116', '117', '118', '150', '158', '165', '166', '205', '206', '207', '209', '212']
